date,rakuten-sp_start_100,rakuten-nasdaq_start_100
2024-11-25,128.0062197650311,127.93
2024-11-26,128.38631651693157,128.1
2024-11-27,127.98030407740153,127.69
2024-11-28,126.5722183828611,125.69
2024-11-29,125.717000691085,124.83999999999999
2024-12-02,126.00207325501036,125.52000000000001
2024-12-03,126.0970974429855,126.69999999999999
2024-12-04,126.03662750518313,126.98
2024-12-05,127.2805805114029,129.03
2024-12-06,126.78818244644093,128.36
2024-12-09,126.926399447132,129.37
2024-12-10,127.59156876295785,129.75
2024-12-11,127.47926744989633,129.58
2024-12-12,128.9823773324119,132.45
2024-12-13,128.80096751900481,132.07999999999998
2024-12-16,129.569799585349,133.88
2024-12-17,130.3818244644091,136.13
2024-12-18,129.41430545957152,135.08
2024-12-19,126.58085694540429,131.23
2024-12-20,128.92190739460955,133.16
2024-12-23,129.3192812715964,133.23000000000002
2024-12-24,130.8742225293711,135.21
2024-12-25,132.25639253628196,137.0
2024-12-26,132.29958534899794,137.03
2024-12-27,132.88700760193504,137.5
2024-12-30,131.42709053213545,135.63
2025-01-06,130.45093296475468,134.32999999999998
2025-01-07,131.5912232204561,136.23000000000002
2025-01-08,130.0276434001382,133.68
2025-01-09,130.49412577747063,134.02
2025-01-10,130.2954388389772,133.81
2025-01-14,128.0148583275743,130.79000000000002
2025-01-15,128.585003455425,131.05
2025-01-16,129.60435383552178,132.71
2025-01-17,128.33448514167242,130.77
2025-01-20,130.3040774015204,133.65
2025-01-21,130.32135452660677,133.66
2025-01-22,131.003800967519,133.97
2025-01-23,132.61921216309608,136.56
2025-01-24,133.1807187284036,136.71
2025-01-27,132.18728403593641,135.29
2025-01-28,129.88078783690392,130.88
2025-01-29,131.52211472011058,133.4
2025-01-30,130.13130615065654,132.29999999999998
2025-01-31,130.54595715272978,132.61
2025-02-03,130.96060815480303,133.51999999999998
2025-02-04,129.67346233586733,132.1
2025-02-05,129.53524533517623,132.66
2025-02-06,128.80960608154803,131.97
2025-02-07,128.17899101589495,131.53
2025-02-10,127.5138217000691,130.4
2025-02-12,129.53524533517623,132.77
2025-02-13,130.24360746371804,134.0
2025-02-14,130.15722183828612,134.43
2025-02-17,129.39702833448513,134.17
2025-02-18,129.19834139599172,133.95
2025-02-19,129.9412577747063,134.67
2025-02-20,129.37975120939876,133.84
2025-02-21,127.7557014512785,132.1
2025-02-25,125.27643400138217,128.14000000000001
2025-02-26,123.59191430545957,125.44
2025-02-27,123.87698686938494,125.98
2025-02-28,122.27021423635107,122.86999999999999
2025-03-03,124.95680718728404,125.61
2025-03-04,121.70870767104354,121.8
2025-03-05,120.71527297857637,121.85999999999999
2025-03-06,121.56185210780926,123.0
2025-03-07,118.45196959225986,118.63
2025-03-10,118.56427090532135,118.97
2025-03-11,114.83241188666207,113.89
2025-03-12,115.05701451278507,114.67
2025-03-13,115.79129232895646,116.14
2025-03-14,114.23635107118176,113.99
2025-03-17,117.06116102280582,117.21999999999998
2025-03-18,118.37422252937111,118.41
2025-03-19,117.23393227366967,116.57
2025-03-21,117.76088458880443,117.24000000000001
2025-03-24,118.43469246717346,118.28
2025-03-25,121.44955079474775,121.75
2025-03-26,121.04353835521768,121.78999999999999
2025-03-27,119.99827228749136,119.87
2025-03-28,120.01554941257776,119.57
2025-03-31,116.40463026952315,115.21999999999998
2025-04-01,117.30304077401522,115.44000000000001
2025-04-02,117.76088458880443,116.41
2025-04-03,116.9574982722875,115.71000000000001
2025-04-04,109.95162404975811,108.13
2025-04-07,103.22218382861092,101.39
2025-04-08,104.37975120939875,102.97
2025-04-09,101.08845888044229,99.33
2025-04-10,111.86074637180371,112.43
2025-04-11,105.52868002764339,105.25
2025-04-14,107.21319972356599,107.0
2025-04-15,108.37076710435383,107.91999999999999
2025-04-16,107.66240497581204,107.58000000000001
2025-04-17,104.94989633724947,104.02
2025-04-18,105.04492052522461,103.97000000000001
2025-04-21,104.13787145818935,103.08
2025-04-22,101.48583275742918,100.34
2025-04-23,104.88078783690393,103.81
2025-04-24,107.27366966136836,106.81
2025-04-25,109.56288873531443,109.91
2025-04-28,110.78956461644782,111.57999999999998
2025-04-30,110.65998617829993,111.36999999999999
2025-05-01,111.21285418106427,111.91
2025-05-02,114.201796821009,115.46000000000001
2025-05-07,111.95577055977886,113.14999999999999
2025-05-08,112.92328956461645,114.07000000000001
2025-05-09,115.29889426399447,116.94
2025-05-12,115.34208707671043,117.04
2025-05-13,120.70663441603318,123.38
2025-05-14,121.11264685556324,124.85
2025-05-15,120.37836903939186,124.66999999999999
2025-05-16,119.91188666205943,123.76
2025-05-19,120.63752591568763,124.2
2025-05-20,121.07809260539047,124.64
2025-05-21,119.74775397373878,123.29
2025-05-22,117.069799585349,120.85
2025-05-23,117.46717346233586,121.50000000000001
2025-05-26,115.73946095369732,119.39999999999999
2025-05-27,115.43711126468557,119.09
2025-05-28,119.21216309606082,123.37
2025-05-29,120.1796821008984,124.51
2025-05-30,118.8579820317899,122.91000000000001
2025-06-02,118.65929509329646,122.58
2025-06-03,118.503800967519,122.76
2025-06-04,120.16240497581204,124.75
2025-06-05,119.11713890808568,124.00999999999999
2025-06-06,119.3590186592951,123.91000000000001
2025-06-09,121.55321354526608,126.14000000000001
2025-06-10,121.5100207325501,126.19
2025-06-11,122.37387698686939,127.22
2025-06-12,121.34588804422944,126.03999999999999
2025-06-13,120.93123704215618,125.42999999999999
2025-06-16,120.70663441603318,124.99
2025-06-17,122.40843123704215,127.34
2025-06-18,121.6309606081548,126.30999999999999
2025-06-19,121.22494816862475,125.93
2025-06-20,121.58776779543882,126.29999999999998
2025-06-23,122.27885279889425,126.77000000000001
2025-06-24,122.79716655148583,127.42999999999999
2025-06-25,123.60919143054596,128.79
2025-06-26,123.38458880442293,128.84
2025-06-27,124.18797512093988,129.85
2025-06-30,125.03455425017277,130.56
2025-07-01,124.71492743607465,130.39000000000001
2025-07-02,124.59398756046993,129.24
2025-07-03,125.12957843814789,130.14
2025-07-04,127.06461644782307,132.34
2025-07-07,126.86592950932965,132.14
2025-07-08,127.34105044920526,132.62
2025-07-09,127.94574982722875,133.45
2025-07-10,127.84208707671043,133.48
2025-07-11,128.88735314443676,133.98000000000002
2025-07-14,128.77505183137527,134.02
2025-07-15,129.55252246026262,135.08
2025-07-16,130.22633033863164,136.49
2025-07-17,130.17449896337249,136.13
2025-07-18,131.02971665514858,137.32
2025-07-22,130.13994471319972,136.79
2025-07-23,129.345196959226,135.19
2025-07-24,130.3818244644091,135.78
2025-07-25,131.28887353144435,136.97
2025-07-28,132.12681409813408,137.61
2025-07-29,132.84381478921907,138.81
2025-07-30,132.18728403593641,138.27
2025-07-31,133.0425017277125,139.54999999999998
2025-08-01,133.80269523151347,140.1
2025-08-04,128.91326883206636,134.48
2025-08-05,130.23496890117485,136.38
2025-08-06,130.17449896337249,135.99
2025-08-07,131.15929509329646,137.76999999999998
2025-08-08,130.70145127850725,137.83
2025-08-12,132.4723565998618,139.78
2025-08-13,133.422598479613,141.05
2025-08-14,132.8092605390463,140.01
2025-08-15,133.73358673116792,140.83
2025-08-18,133.23255010366276,139.98999999999998
2025-08-19,133.58673116793364,140.37
2025-08-20,132.66240497581202,138.27
2025-08-21,132.12681409813408,137.25
2025-08-22,132.53282653766414,137.6
2025-08-25,133.57809260539045,138.7
2025-08-26,132.74879060124397,138.01000000000002
2025-08-27,133.6558396682792,138.95
2025-08-28,133.85452660677265,139.07
2025-08-29,133.82861091914307,139.41
2025-09-01,133.3102971665515,138.06
2025-09-02,133.36212854181065,138.12
2025-09-03,133.7681409813407,138.38
2025-09-04,133.7595024187975,138.76
2025-09-05,135.08984105044922,140.28
2025-09-08,134.88251554941257,140.61999999999998
2025-09-09,134.16551485832758,140.23000000000002
2025-09-10,134.66655148583274,140.82
2025-09-11,135.1071181755356,140.92
2025-09-12,136.01416724257084,141.52
2025-09-16,136.83483068417414,143.53
2025-09-17,135.75501036627503,142.45000000000002
2025-09-18,136.02280580511405,142.57999999999998
2025-09-19,137.67277125086386,144.98
2025-09-22,138.5625431928127,146.23999999999998
2025-09-24,138.0010366275052,145.54
2025-09-25,138.4675190048376,146.0
2025-09-26,138.7266758811334,146.35
2025-09-29,139.00310988251553,146.42
2025-09-30,139.0635798203179,146.74
2025-10-01,138.96855563234277,146.45
2025-10-02,138.52798894263992,146.2
2025-10-03,138.8217000691085,146.96
2025-10-06,141.085003455425,148.70000000000002
2025-10-07,142.25984796129924,150.54000000000002
2025-10-08,143.45196959225984,151.54000000000002
2025-10-09,144.6959225984796,153.78
2025-10-10,144.62681409813408,153.9
2025-10-14,142.3462335867312,151.16
2025-10-15,141.3700760193504,149.31
2025-10-16,141.07636489288183,149.39
2025-10-17,139.6682791983414,148.31
2025-10-20,141.18002764340014,150.09
2025-10-21,142.26848652384243,151.59
2025-10-22,143.35694540428472,152.67
2025-10-23,143.11506565307533,151.70999999999998
2025-10-24,144.3590186592951,153.48
2025-10-27,145.80165860400828,155.39000000000001
2025-10-28,147.17519004837595,157.78
2025-10-29,146.57049067035246,157.94
2025-10-30,147.7280580511403,159.84
2025-10-31,147.50345542501728,158.82
2025-11-04,148.4277816171389,160.59
2025-11-05,145.84485141672425,156.37
2025-11-06,146.90739460953696,158.06
2025-11-07,144.50587422252937,154.23
2025-11-10,145.35245335176225,154.5
2025-11-11,148.02176917760886,158.35
2025-11-12,148.25501036627503,157.79000000000002
2025-11-13,149.06703524533518,158.46
2025-11-14,146.32861091914307,154.91
2025-11-17,146.2508638562543,154.98000000000002
2025-11-18,145.51658604008293,154.32
2025-11-19,144.51451278507255,152.68
2025-11-20,146.69143054595713,155.27
2025-11-21,144.60953697304768,151.79
2025-11-25,147.7107809260539,156.34
2025-11-26,148.59191430545957,156.76000000000002
2025-11-27,149.1706979958535,157.66
2025-11-28,149.86178299930893,158.39000000000001
2025-12-01,149.93953006219763,158.85
2025-12-02,148.99792674498963,158.10999999999999
