äÓèÄì˙,äÓèÄâøäz(â~),ï™îzã‡çƒìäéëäÓèÄâøäz(â~),èÉéëéYëçäz(â≠â~),ï™îzã‡(â~)
2018/04/04,9657,9657,300.85,
2018/04/05,10257,10257,318.25,
2018/04/06,10237,10237,314.25,
2018/04/09,10417,10417,314.21,
2018/04/10,10683,10683,324.37,
2018/04/11,10287,10287,311.09,
2018/04/12,10266,10266,309.37,
2018/04/13,10571,10571,317.74,
2018/04/16,10652,10652,319.15,
2018/04/17,10610,10610,315.37,
2018/04/18,11343,11343,337.59,
2018/04/19,11387,11387,332.09,
2018/04/20,11298,11298,326.19,
2018/04/23,11165,11165,324.78,
2018/04/24,11556,11556,336.12,
2018/04/25,11421,11421,330.34,
2018/04/26,11642,11642,338.31,
2018/04/27,12068,12068,346.71,
2018/05/01,12043,12043,340.68,
2018/05/02,11973,11973,339.71,
2018/05/07,11926,11926,343.04,
2018/05/08,12085,12085,347.97,
2018/05/09,11854,11854,340.26,
2018/05/10,12036,12036,345.74,
2018/05/11,12564,12564,359.55,
2018/05/14,12874,12874,362.44,
2018/05/15,12776,12776,358.24,
2018/05/16,12584,12584,351.26,
2018/05/17,12820,12820,357.22,
2018/05/18,13037,13037,359.48,
2018/05/21,13231,13231,358.70,
2018/05/22,13107,13107,352.84,
2018/05/23,12518,12518,333.22,
2018/05/24,11786,11786,314.85,
2018/05/25,11854,11854,314.91,
2018/05/28,11966,11966,317.37,
2018/05/29,11532,11532,304.85,
2018/05/30,10927,10927,290.82,
2018/05/31,11266,11266,303.84,
2018/06/01,11332,11332,308.56,
2018/06/04,11953,11953,326.07,
2018/06/05,12027,12027,328.11,
2018/06/06,12265,12265,333.89,
2018/06/07,12776,12776,348.28,
2018/06/08,12321,12321,333.58,
2018/06/11,12719,12719,341.46,
2018/06/12,12814,12814,345.63,
2018/06/13,13006,13006,342.87,
2018/06/14,12493,12493,316.93,
2018/06/15,12800,12800,321.53,0
2018/06/18,12294,12294,308.84,
2018/06/19,11265,11265,285.63,
2018/06/20,11924,11924,306.74,
2018/06/21,12199,12199,320.29,
2018/06/22,11871,11871,309.28,
2018/06/25,11505,11505,299.99,
2018/06/26,11549,11549,303.19,
2018/06/27,11349,11349,304.84,
2018/06/28,11349,11349,305.17,
2018/06/29,11483,11483,310.83,
2018/07/02,10264,10264,280.36,
2018/07/03,10202,10202,284.04,
2018/07/04,10182,10182,286.93,
2018/07/05,9758,9758,276.17,
2018/07/06,10367,10367,295.13,
2018/07/09,10916,10916,315.15,
2018/07/10,11170,11170,323.95,
2018/07/11,10563,10563,303.27,
2018/07/12,11183,11183,323.10,
2018/07/13,12021,12021,345.03,
2018/07/17,12293,12293,341.60,
2018/07/18,12478,12478,336.69,
2018/07/19,12454,12454,325.21,
2018/07/20,12290,12290,315.07,
2018/07/23,11503,11503,292.14,
2018/07/24,11789,11789,302.78,
2018/07/25,11990,11990,313.68,
2018/07/26,11899,11899,311.03,
2018/07/27,12171,12171,314.39,
2018/07/30,11801,11801,303.49,
2018/07/31,11755,11755,303.60,
2018/08/01,12387,12387,321.36,
2018/08/02,11758,11758,301.63,
