date,fang_start_100,rakuten-nasdaq_start_100
2025-04-21,113.64344061253652,103.08
2025-04-22,110.71725638236612,100.34
2025-04-23,114.68424083434641,103.81
2025-04-24,119.35291232111247,106.81
2025-04-25,125.60837758867063,109.91
2025-04-28,128.23170601659308,111.57999999999998
2025-04-30,127.54921406786531,111.36999999999999
2025-05-01,127.9480453004031,111.91
2025-05-02,133.4613005737198,115.46000000000001
2025-05-07,131.20907714291806,113.14999999999999
2025-05-08,131.6569624842707,114.07000000000001
2025-05-09,134.508499157549,116.94
2025-05-12,133.8921236163542,117.04
2025-05-13,141.65760232047262,123.38
2025-05-14,144.41316356346107,124.85
2025-05-15,144.3619766673065,124.66999999999999
2025-05-16,142.70266811696206,123.76
2025-05-19,143.01192228122935,124.2
2025-05-20,143.5579158402116,124.64
2025-05-21,141.80263185957728,123.29
2025-05-22,139.8468658690042,120.85
2025-05-23,141.1350694222279,121.50000000000001
2025-05-26,138.85725254334892,119.39999999999999
2025-05-27,138.49254590824748,119.09
2025-05-28,143.89916181457548,123.37
2025-05-29,145.61392283575404,124.51
2025-05-30,143.4043551517478,122.91000000000001
2025-06-02,143.4832682833195,122.58
2025-06-03,144.26600123701664,122.76
2025-06-04,146.4329131742274,124.75
2025-06-05,145.55633757758014,124.00999999999999
2025-06-06,146.5907394373707,123.91000000000001
2025-06-09,148.69793332906775,126.14000000000001
2025-06-10,148.29057094717086,126.19
2025-06-11,148.6936677543882,127.22
2025-06-12,147.97278563354448,126.03999999999999
2025-06-13,147.56755603898733,125.42999999999999
2025-06-16,147.10474118625632,124.99
2025-06-17,149.77285814831401,127.34
2025-06-18,149.73020240151854,126.30999999999999
2025-06-19,148.7277923518246,125.93
2025-06-20,149.16714654381812,126.29999999999998
2025-06-23,148.9346727237827,126.77000000000001
2025-06-24,149.73020240151854,127.42999999999999
2025-06-25,151.1485059824685,128.79
2025-06-26,152.30447672062618,128.84
2025-06-27,154.37114765286753,129.85
2025-06-30,156.00272996779492,130.56
2025-07-01,155.7531938490413,130.39000000000001
2025-07-02,152.99763260605286,129.24
2025-07-03,154.01923774180477,130.14
2025-07-04,157.58739096124725,132.34
2025-07-07,157.33998762983344,132.14
2025-07-08,157.9307697229509,132.62
2025-07-09,158.06513532535672,133.45
2025-07-10,158.82654040565615,133.48
2025-07-11,157.65564015612003,133.98000000000002
2025-07-14,157.44662699682215,134.02
2025-07-15,158.67084692985262,135.08
2025-07-16,160.95719495809072,136.49
2025-07-17,160.14033740695714,136.13
2025-07-18,161.266449122358,137.32
2025-07-22,161.06383432507945,136.79
2025-07-23,157.93290251029072,135.19
2025-07-24,158.2485550365773,135.78
2025-07-25,161.1171540085738,136.97
2025-07-28,161.4008147247638,137.61
2025-07-29,163.26700364706633,138.81
2025-07-30,162.38616247573952,138.27
2025-07-31,163.9878857679101,139.54999999999998
2025-08-01,165.85834026489218,140.1
2025-08-04,158.1248533708704,134.48
2025-08-05,160.45812272058353,136.38
2025-08-06,159.28508968370764,135.99
2025-08-07,162.40109198711795,137.76999999999998
2025-08-08,161.11075564655448,137.83
2025-08-12,163.75541194787468,139.78
2025-08-13,165.2334335743383,141.05
2025-08-14,163.21368396357198,140.01
2025-08-15,164.98176466824492,140.83
2025-08-18,164.7599547849084,139.98999999999998
2025-08-19,165.19504340222238,140.37
2025-08-20,161.94680828374604,138.27
2025-08-21,160.44959157122443,137.25
2025-08-22,160.57329323693133,137.6
2025-08-25,161.9979951799006,138.7
2025-08-26,161.86789515217436,138.01000000000002
2025-08-27,162.61010514641586,138.95
2025-08-28,163.20941838889246,139.07
2025-08-29,165.17584831616438,139.41
2025-09-01,162.7572674728603,138.06
2025-09-02,162.81911830571374,138.12
2025-09-03,163.0558577004287,138.38
2025-09-04,165.16091880478598,138.76
2025-09-05,167.07402904856357,140.28
2025-09-08,168.4518096700578,140.61999999999998
2025-09-09,168.85490647727514,140.23000000000002
2025-09-10,169.4158295476358,140.82
2025-09-11,170.42677074668885,140.92
2025-09-12,169.76347388401902,141.52
2025-09-16,173.1674024782989,143.53
2025-09-17,171.58274148484654,142.45000000000002
2025-09-18,171.10926269541665,142.57999999999998
2025-09-19,174.55797982383177,144.98
2025-09-22,176.3687162753002,146.23999999999998
2025-09-24,173.15247296692047,145.54
2025-09-25,173.34229104016038,146.0
2025-09-26,173.81790261693007,146.35
2025-09-29,173.88615181180285,146.42
2025-09-30,173.86908951308465,146.74
2025-10-01,172.8816089747691,146.45
2025-10-02,171.74056774798984,146.2
2025-10-03,172.4934416789302,146.96
2025-10-06,174.30204534305884,148.70000000000002
2025-10-07,175.99974406551922,150.54000000000002
2025-10-08,177.42871158316805,151.54000000000002
2025-10-09,180.78571885597287,153.78
2025-10-10,181.739074796852,153.9
2025-10-14,179.5188431761469,151.16
2025-10-15,175.6457013671167,149.31
2025-10-16,175.21487832448227,149.39
2025-10-17,173.83923049032782,148.31
2025-10-20,175.72248171134856,150.09
2025-10-21,178.36927080000854,151.59
2025-10-22,179.82383176573464,152.67
2025-10-23,177.75076247147396,151.70999999999998
2025-10-24,179.9859236035575,153.48
2025-10-27,182.20402243692283,155.39000000000001
2025-10-28,184.91692793311577,157.78
2025-10-29,186.35655938746348,157.94
2025-10-30,189.16544031394628,159.84
2025-10-31,187.36323501183696,158.82
