ÇÖÇlÇ`ÇwÇhÇr ÇrÇåÇâÇç ïƒçëäîéÆÅiÇrÅïÇoÇTÇOÇOÅj
äÓèÄì˙,äÓèÄâøäz(â~),äÓèÄâøäzÅiï™îzã‡çƒìäéëÅj(â~),ï™îzã‡Åiê≈à¯ëOÅj(â~),èÉéëéYëçäzÅiâ≠â~Åj
2025/04/16,28005,28005,,61252.84
2025/04/17,27301,27301,,59779.96
2025/04/18,27325,27325,,59872.59
2025/04/21,27091,27091,,59413.32
2025/04/22,26401,26401,,57901.61
2025/04/23,27284,27284,,59898.27
2025/04/24,27907,27907,,61282.30
2025/04/25,28502,28502,0,62610.10
2025/04/28,28822,28822,,63342.56
2025/04/30,28788,28788,,63323.47
2025/05/01,28931,28931,,63718.29
2025/05/02,29710,29710,,65474.12
2025/05/07,29124,29124,,64531.78
2025/05/08,29376,29376,,65164.16
2025/05/09,29994,29994,,66709.29
2025/05/12,30006,30006,,67009.11
2025/05/13,31398,31398,,70156.55
2025/05/14,31504,31504,,70487.54
2025/05/15,31313,31313,,70069.80
2025/05/16,31191,31191,,69798.25
2025/05/19,31383,31383,,70280.93
2025/05/20,31497,31497,,70549.38
2025/05/21,31150,31150,,69798.64
2025/05/22,30453,30453,,68308.74
2025/05/23,30557,30557,,68546.71
2025/05/26,30107,30107,,67540.03
2025/05/27,30028,30028,,67377.66
2025/05/28,31008,31008,,69576.44
2025/05/29,31262,31262,,70221.65
2025/05/30,30919,30919,,69473.88
2025/06/02,30867,30867,,69380.40
2025/06/03,30825,30825,,69283.41
2025/06/04,31258,31258,,70621.44
2025/06/05,30986,30986,,70124.82
2025/06/06,31047,31047,,70267.54
2025/06/09,31618,31618,,71591.88
2025/06/10,31608,31608,,71576.51
2025/06/11,31833,31833,,72364.49
2025/06/12,31566,31566,,71778.27
2025/06/13,31458,31458,,71535.92
2025/06/16,31398,31398,,71491.03
2025/06/17,31843,31843,,72500.32
2025/06/18,31638,31638,,72073.57
2025/06/19,31533,31533,,71871.31
2025/06/20,31627,31627,,72078.13
2025/06/23,31809,31809,,72492.85
2025/06/24,31944,31944,,72819.62
2025/06/25,32153,32153,,73273.78
2025/06/26,32096,32096,,73133.83
2025/06/27,32305,32305,,73628.32
2025/06/30,32527,32527,,74156.32
2025/07/01,32444,32444,,73974.28
2025/07/02,32411,32411,,73910.91
2025/07/03,32551,32551,,74554.16
