date,rakuten-vti_start_100,rakuten-nasdaq_start_100
2025-08-25,132.29743473838852,138.7
2025-08-26,131.39714468678193,138.01000000000002
2025-08-27,132.34640449014955,138.95
2025-08-28,132.58371944099144,139.07
2025-08-29,132.61008776886277,139.41
2025-09-01,132.1429916751422,138.06
2025-09-02,132.19949523486648,138.12
2025-09-03,132.5724187290466,138.38
2025-09-04,132.44811089765324,138.76
2025-09-05,133.82679775492522,140.28
2025-09-08,133.77406109918257,140.61999999999998
2025-09-09,133.20525859795833,140.23000000000002
2025-09-10,133.51414472445097,140.82
2025-09-11,133.8908351226127,140.92
2025-09-12,134.88906467774135,141.52
2025-09-16,135.56334049045088,143.53
2025-09-17,134.47847214374505,142.45000000000002
2025-09-18,134.75345613440314,142.57999999999998
2025-09-19,136.58793837345087,144.98
2025-09-22,137.32248464986628,146.23999999999998
2025-09-24,136.7687497645685,145.54
2025-09-25,137.1153049308773,146.0
2025-09-26,137.31871774588467,146.35
2025-09-29,137.64267148830376,146.42
2025-09-30,137.650205296267,146.74
2025-10-01,137.43925867329642,146.45
2025-10-02,137.00229781142878,146.2
2025-10-03,137.39782272949864,146.96
2025-10-06,139.68810035032206,148.70000000000002
2025-10-07,140.86337439258673,150.54000000000002
2025-10-08,141.89927298753156,151.54000000000002
2025-10-09,143.244057708969,153.78
2025-10-10,143.0745470297962,153.9
2025-10-14,140.90481033638454,151.16
2025-10-15,140.1024597883,149.31
2025-10-16,139.89151316532943,149.39
2025-10-17,138.27174445323388,148.31
2025-10-20,139.68056654235883,150.09
2025-10-21,140.82570535277054,151.59
2025-10-22,141.88420537160508,152.67
2025-10-23,141.53388330131463,151.70999999999998
2025-10-24,142.84099898293593,153.48
2025-10-27,144.29879082382192,155.39000000000001
2025-10-28,145.49666628997628,157.78
2025-10-29,144.7960221493954,157.94
2025-10-30,145.83945455230347,159.84
2025-10-31,145.5004331939579,158.82
2025-11-04,146.5099634610314,160.59
2025-11-05,143.90703280973366,156.37
2025-11-06,145.03710400421895,158.06
2025-11-07,142.64511997589182,154.23
2025-11-10,143.5943797792594,154.5
2025-11-11,146.10313783101668,158.35
2025-11-12,146.385655629638,157.79000000000002
2025-11-13,147.15033713790635,158.46
2025-11-14,144.27618939993218,154.91
2025-11-17,144.2121520322447,154.98000000000002
2025-11-18,143.3043281726749,154.32
